origin,cylinders,displacement,horsepower,weight,acceleration,year,name,Kilometer_per_liter
1,4,98.0,70,2125,17.3,1982,mercury lynx l,15.305173467489793
3,4,120.0,88,2160,14.5,1982,nissan stanza xe,15.305173467489793
3,4,107.0,75,2205,14.5,1982,honda accord,15.305173467489793
3,4,108.0,70,2245,16.9,1982,toyota corolla,14.454886052629249
3,4,91.0,67,1965,15.0,1982,honda civic,16.155460882350337
3,4,91.0,67,1965,15.7,1982,honda civic (auto),13.604598637768705
3,4,91.0,67,1995,16.2,1982,datsun 310 gx,16.155460882350337
1,6,181.0,110,2945,16.4,1982,buick century limited,10.6285926857568
1,6,262.0,85,3015,17.0,1982,oldsmobile cutlass ciera (diesel),16.155460882350337
1,4,156.0,92,2585,14.5,1982,chrysler lebaron medallion,11.053736393187073
1,6,232.0,112,2835,14.7,1982,ford granada l,9.353161563465985
3,4,144.0,96,2665,13.9,1982,toyota celica gt,13.604598637768705
1,4,135.0,84,2370,13.0,1982,dodge charger 2.2,15.305173467489793
1,4,151.0,90,2950,17.3,1982,chevrolet camaro,11.478880100617344
1,4,140.0,86,2790,15.6,1982,ford mustang gl,11.478880100617344
2,4,97.0,52,2130,24.6,1982,vw pickup,18.70632312693197
1,4,135.0,84,2295,11.6,1982,dodge rampage,13.604598637768705
1,4,120.0,79,2625,18.6,1982,ford ranger,11.904023808047617
1,4,119.0,82,2720,19.4,1982,chevy s-10,13.179454930338432
